"","spec","pop_id","pop_name","length_id","length_name","adv_level","adv_cause","restrictive"
"132","Walleye",1,"General",60,"60-65cm",4,"Mercury, PFAS",TRUE
"133","Walleye",1,"General",65,"65-70cm",4,"Mercury, PFAS",TRUE
"134","Walleye",1,"General",70,"70-75cm",4,"Mercury, PFAS",TRUE
"135","Walleye",1,"General",75,">75cm",0,"Mercury",TRUE
"136","Walleye",2,"Sensitive",15,"15-20cm",4,"PFAS",TRUE
"137","Walleye",2,"Sensitive",20,"20-25cm",4,"PFAS",TRUE
"138","Walleye",2,"Sensitive",25,"25-30cm",4,"PFAS",TRUE
"139","Walleye",2,"Sensitive",30,"30-35cm",4,"PFAS",TRUE
"140","Walleye",2,"Sensitive",35,"35-40cm",4,"Mercury, PFAS",TRUE
"141","Walleye",2,"Sensitive",40,"40-45cm",4,"Mercury, PFAS",TRUE
"142","Walleye",2,"Sensitive",45,"45-50cm",4,"Mercury, PFAS",TRUE
"143","Walleye",2,"Sensitive",50,"50-55cm",4,"Mercury, PFAS",TRUE
"144","Walleye",2,"Sensitive",55,"55-60cm",0,"Mercury",TRUE
"145","Walleye",2,"Sensitive",60,"60-65cm",0,"Mercury",TRUE
"146","Walleye",2,"Sensitive",65,"65-70cm",0,"Mercury",TRUE
"147","Walleye",2,"Sensitive",70,"70-75cm",0,"Mercury",TRUE
"148","Walleye",2,"Sensitive",75,">75cm",0,"Mercury",TRUE
"149","Freshwater Drum",1,"General",60,"60-65cm",2,"PCB",TRUE
"150","Freshwater Drum",1,"General",65,"65-70cm",2,"PCB",TRUE
"151","Freshwater Drum",1,"General",70,"70-75cm",1,"PCB",TRUE
"152","Freshwater Drum",2,"Sensitive",60,"60-65cm",0,"Mercury, PCB",TRUE
"153","Freshwater Drum",2,"Sensitive",65,"65-70cm",0,"Mercury, PCB",TRUE
"154","Freshwater Drum",2,"Sensitive",70,"70-75cm",0,"Mercury, PCB",TRUE
"155","Tench",1,"General",45,"45-50cm",8,"PFAS",TRUE
"156","Tench",2,"Sensitive",45,"45-50cm",0,"Mercury, PFAS",TRUE
